ASL-LEX_add_translation
ASL-LEX_add_translation,,,
Entry,Gloss,Definition,Comment
L_people,people,people,
L_pepper,pepper,"condiment, ingredient, pepper, seasoning, spices, PEPPERf",
L_pepsi,pepsi,"coke, pepsi, PEPSIdown, pop, soda",
L_perceive,perceive,"listen, receive, reception, perceive, perception, understand, receptive, listen with the eyes",
L_percent,percent,percent,
L_perfect,perfect,"exact, exactly, perfect, PERFECTfrot, precise, precisely",
L_perfume,perfume,"cologne, perfume, scent",
L_perfume_2,perfume,perfume,
L_period,period,"and that's final, end of discussion, period, that's all, that's it",
L_permission,permission,permission,
L_persistent,persistent,persistent,
L_person,person,"individual, people, person",
L_perspective,perspective,"opinion, perceive, perception, perspective, point of view, stance, view, viewpoint",
L_persuade,persuade,persuade,
L_pet,pet,"animal, caress, pet",
L_pet_2,pet,"animal, caress, pet",
L_pharmacist,pharmacist,"doctor, medicine, pharmacist",
L_philadelphia,philadelphia,"city, Philadelphia, Philly",
L_philosophy,philosophy,"explanation, knowledge, perspective, philosophical, philosophy, understanding",
L_photography,photography,"camera, photograph, photography, pictures, take a picture, take pictures",
L_physics,physics,physics,
L_piano,piano,"piano, to play piano",
L_pick_2,pick,pick,
L_pickle,pickle,"food, pickle",
L_picnic,picnic,"picnic, PICNIC-SAUSAGE",
L_picture,picture,"iconic, illustration, image, photo, photograph, picture, snapshot",
L_pie,pie,"eat pie, pastry, pie, sweets",
L_pig,pig,"animal, pig, pork",
L_pile,pile,"dirt, heap, mound, pile",
L_pill,pill,"drops, medicine, pill, take orally",
L_pillow,pillow,pillow,
L_pillow_2,pillow,pillow,
L_pillow_3,pillow,pillow,
L_pin_on,pin_on,pin_on,
L_pinch_1,pinch,"pinch, squeeze, St. Patrick's Day, to pinch",there's no video?
L_pinch_2,pinch,pinch,
L_pineapple,pineapple,"food, fruit, pineapple, PINEAPPLE-CUT",
L_pineapple_2,pineapple,pineapple,
L_pineapple_3,pineapple,pineapple,
L_pineapple_4,pineapple,pineapple,
L_pineapple_5,pineapple,pineapple,
L_pink,pink,"color, pink",
L_pipe,pipe,"bowl, pipe, smoke","no signs for pipe as a tube used to convey water, gas, oil or other fluid"
L_pipe_2,pipe,pipe,
L_pipe_3,pipe,pipe,
L_pipe_4,pipe,pipe,
L_pirate,pirate,"argh, eyepatch, pirate",
L_pissed_off,pissed_off,pissed_off,
L_pitcher,pitcher,pitcher,
L_pity,pity,"pity, poor, poor thing, sympathy",
L_pizza_1,pizza,pizza,
L_pizza_2,pizza,pizza,
L_pizza_cutter,pizza_cutter,pizza_cutter,
L_pjs,pjs,pjs,
L_place,place,"area, location, place, position, setting, site, spot",
L_plain,plain,plain,
L_plan,plan,"arrange, plan, planning, prepare, schedule, to plan",
L_planet,planet,"earth, geography, globe, planet",
L_plant,plant,"garden, grow, plant, vegetation",
L_plate,plate,"dish, plate, platter",
L_platform,platform,platform,
L_play,play,"goof off, party, play",
L_players,players,"agent, athlete, person, play, player, sports",
L_playground,playground,playground,
L_please,please,"enjoy, please, pleasure",
L_plenty,plenty,plenty,
L_pliers,pliers,"pliers, tools",
L_plow_1,plow,plow,
L_plow_2,plow,plow,
L_plug_1,plug,"battery, charge, charger, cord, electric, electricity, insert, outlet, plug, plug in",
L_plug_2,plug,"battery, charge, charger, cord, electric, electricity, insert, outlet, plug, plug in",
L_plummet,plummet,plummet,
L_plunger,plunger,"bathroom, cleaning, fixing, plunger, toilet, tool",
L_plus,plus,"add, also, and, in addition to, optimistic, plus, positive",
L_point,point,"bullet point, detail, goal, item, particular, precise, specific, target, what's the point?",
L_point_index,point_index,point_index,
L_pole,pole,"cylinder, extend out, long thin object, pole, stick, tube",
L_policeman,policeman,"cop, police, police officer, security, badge",
L_policeman_2,policeman,"cop, police, police officer, security",
L_policy,policy,"policy, principle, rule",
L_polish,polish,polish,
L_ponder,ponder,"brainstorm, consider, contemplate, going through the mind, mull over, ponder, pondering, think about, thinking, wondering",
L_pool,pool,"billards, play pool, pool, pool game, pool-game, shoot pool",
L_poop,poop,"defecate, going number two, poop, shit",
L_poor,poor,"impoverished, poor, poverty",
L_pop,pop,"balloon, burst, deflate, pop, prick, puncture, to pop",
L_pop_2,pop,pop,
L_pop_3,pop,pop,
L_pop_4,pop,pop,
L_popcorn,popcorn,"food, popcorn",
L_pope,pope,"Catholic, pope, religion",
L_popular,popular,"famous, popular, popularity, well-known",
L_porcupine,porcupine,porcupine,
L_positive,positive,"optimistic, plus, positive",
L_possible,possible,"ability, able, can, possibility, possible",
L_possum,possum,"animal, opossum, possum",
L_postpone,postpone,"delay, delayed, extend, extension, linger, move forward, postpone, put off, time, wait",
L_potato,potato,"chips, Idaho, Ireland, Irish, potato, potato chips",
L_pour,pour,"fill up, pour",
L_pour_2,pour,"lump, pour, spill",
L_powder,powder,"powder, put on, seasoning, sprinkle on, sprinkles",
L_power,power,"potent, power, powerful, strength",
L_practice,practice,"practice, rehearsal, rehearse, train, training",
L_prayer,prayer,"beg, church, plead, please, pray, prayer, pretty please, religion, religious, sermon",
L_preacher,preacher,"church, minister, preach, preacher, temple",
L_precious,precious,"care, cherish, conserve, dear, precious, save, to treasure, value",
L_predict,predict,"anticipate, foresee, future, look, look ahead, predict, prediction, see",
L_prefer,prefer,"better, prefer, preference",
L_pregnant,pregnant,"baby, pregnant",
L_president,president,president,
L_press,press,"click, hold down, poke, press, push, remote, tap",
L_press_in_mind,press_in_mind,"make it stick, memorize, remember, retain",
L_pretend,pretend,"fake, imagine, play, pretend, not real",
L_pretty,pretty,"beautiful, beauty, gorgeous, pretty, stunning",
L_price,price,price,
L_pride,pride,"pride, proud",
L_priest,priest,"church, pastor, preacher, priest",
L_prince,prince,prince,
L_principal,principal,"principal, school",
L_print,print,"print, publish",
L_priority,priority,"first, most important, primary, prioritize, priority",
L_prison,prison,"bars, cage, jail, prison",
L_problem_1,problem,"issue, problem, PROBLEMtwist, trouble, complication",ref_signbank
L_problem_2,problem,"complication, difficult, issue, problem",ref_signbank
L_process,process,"continuation, continue, go ahead, going, ongoing, proceed, procedure, process, progress",
L_produce_sign,produce_sign,"able to sign, articulate-sign, capable of signing, chat, conversation, discuss, fluency, fluent, produce-sign, sign, signing, talk, to perform in sign, to pronounce, to sign something",
L_profoundly_deaf,profoundly_deaf,"deaf, profoundly deaf, totally deaf",
L_program,program,"program, project",
L_project,project,"program, project",
L_promise,promise,"absolutely, commit, confirm, dedicate, dedication, guarantee, promise",
L_promote,promote,"advance, advanced, elevate, high, increase, level up, more difficult, promote",
L_proof,proof,"confirmation, evidence, fact, proof, prove, validate, verify",
L_propeller_1,propeller,propeller,
L_propose,propose,"give, offer, present, proposal, propose, recommend, recommendation, submit, submission, suggest, suggestion",
L_protection,protection,"barrier, block, obstruct, prevent, prevention, protect, protection, restrict, restriction, stop",
L_protest,protest,"object, protest, rebel, rebellion, revolt, revolution, strike",
L_provide,provide,"disperse, give, give out, grant, hand out, offer, pass out, present, provide",
L_proximalization,proximalization,"move, proximalization, switch",
L_psychologist,psychologist,"psychology, psychologist",
L_psychology,psychology,"psychology, psychologist",
L_public,public,"expand, general, mainstream, overall, public, wide, open, broad",
L_pull,pull,"drag, draw, draw out, elicit, elicitation, get, get out, haul, jerk, lug, pull, pull out, recruit, tow, tug, yank",
L_pull_convince,pull_convince,pull_convince,
L_pumpkin,pumpkin,"melon, pumpkin",
L_punch_face,punch_face,"fruit drink, hit, hitting, jab, knock, punch",
L_punish,punish,"detention, discipline, penalty, punish",
L_purple,purple,"color, purple",
L_push,push,"press, push, shove",
L_put,put,put,
L_put_aside,put_aside,"clear out, discard, hold, ignore, push aside, push away, put aside, reject, set aside, throw away",
L_put_in_back_mind,put_in_back_mind,put_in_back_mind,
L_puzzled,puzzled,"baffled, bemused, bewildered, confounded, confused, don't know, flummoxed, mystified, nonplussed, perplexed, puzzled",
L_Q_tip,Q_tip,Q_tip,a brand name for a cotton swab
L_qm,qm,"ask, confirm, do you know?, puzzled, question, question mark, question mark wiggle, QM, really, unsure",
L_quality,quality,"qualification, qualify, quality",
L_quarter,quarter,"division, measurement, part, quarter, time",
L_queen,queen,"female, princess, queen, royalty, woman",
L_quiet,quiet,"calm, quiet, silence, silent, to be still",
L_quit,quit,quit,
L_rabbit,rabbit,"bunny, ears, hare, rabbit",
L_rabbit_2,rabbit,"bunny, hare, rabbit",
L_race,race,race,
L_racecar_track,racecar_track,racecar_track,
L_radio,radio,"music, radio, speakers, stereo",
L_rain,rain,"drizzle, rain, rainfall, rainstorm, shower, sprinkling, storm",
L_rainbow,rainbow,rainbow,
L_raisin,raisin,raisin,
L_rake,rake,"collect leaves, garden work, rake",
L_range,range,"a range of, a variety of, from here to there, gradient, range, register, scope, to, variation",
L_rat,rat,"rat, mouse, rice, rats, rodent",
L_razor,razor,"razor, shave",
L_razor_2,razor,razor,
L_reach,reach,reach,
L_react,react,"react, reply, report, respond, responsive",
L_read,read,"look through, read, skim",
L_ready,ready,"be prepared, be ready, get ready, get set, ready",
L_real_sick,real_sick,real_sick,
L_really,really,"am, are, copula, is, real, really, sure, true, truth, to be",
L_really_into,really_into,"dive into, engrossed, enthralled, explore, fall in it, immersed, in depth, lose oneself in, really into, really-into",
L_reason,reason,"explanation, rational, rationale, realization, realize, reason, why",
L_recent_1,recent,"just, just finished, just happened, recent, recently, short time ago",
L_recent_2,recent,"just, just finished, just happened, recent, recently, short time ago",
L_recite,recite,"list, list out, recite, sign, sign to me, sign to you, tell, tell me, tell name, tell number, tell you",
L_record,record,record,
L_recording,recording,"cassette, computer, record, recorder, tape",
L_red,red,"color, red",
L_red_faced,red_faced,red_faced,
L_reduce,reduce,reduce,
L_reflect,reflect,"look, look back, memory, recall, remember, reminisce",
L_refrigerator,refrigerator,refrigerator,
L_refuse,refuse,"deny, refuse, unwilling, will not, won't, wouldn't",
L_register,register,register,
L_regular,regular,"appropriate, correct, normal, ordinary, proper, regular, regularly, typical",
L_relationship,relationship,"associate, connect, cooperate, coordinate, link, related, relation, relationship, to get along with",
L_relax,relax,"relax, rest",
L_relax_2,relax,"lay, lay down, lie, lie down, rest, supine",
"L_release, rescue","release, rescue","release, rescue",
L_relief,relief,"calm down, relief, relieved, settle, settle down, whew",
L_religion,religion,"religion, religious",
L_remember,remember,"remember, recall or make an effort to keep a person, event or thing in one's mind","more common, more general, ref_handspeak"
L_remember_2,remember,"make it stick, memorize, remember, retain",
L_remind,remind,"remind, remind me, remind you, to remember, to remind",
L_remote_control,remote_control,"clicker, remote, remote control",
L_remove,remove,"abortion, discard, remove, take away, take out, throw away",
L_replace,replace,"change, exchange, replace, rotate, switch, trade",
L_request,request,"ask, inquire, query, question, request",
L_requirement,requirement,"demand, necessary, needed, require, requirement, requisite",
L_rescue,rescue,rescue,
L_research,research,"examine, investigation, investigate, research, RESEARCHr",
L_resent,resent,"disapprove, dislike, feeling offended, indignant, opposed to, resent",
L_resign,resign,"back out, leave, quit, resign, step down",
L_resist,resist,"abstain, against, oppose, reluctant, resist",
L_respect,respect,"admire, honor, respect, reverence",
L_responsibility,responsibility,"accountable, accountability, burden, obligation, responsible, responsibility",
L_rest,rest,"relax, rest",
L_rest_all_day,rest_all_day,rest_all_day,
L_restaurant,restaurant,"deli, delicatessen, eatery, restaurant",
L_restless,restless,"anxious, can't sleep, fidgety, nervous, restless, toss and turn",
L_result,result,"consequence, end result, outcome, result",
L_retire,retire,"retire, retired, retirement",
L_retrieve,retrieve,"download, extract, quote, receive, record videotape, retrieve, take out, to get",
L_revenge,revenge,"payback, revenge, torment",
L_rhino,rhino,rhino,
L_rhino_2,rhino,rhino,
L_rhino_3,rhino,rhino,
L_ribbon_award,ribbon_award,ribbon_award,
L_rich,rich,"money, rich, RICHsc, spend, wealth, wealthy",
L_ride_1,ride,"get a ride, ride, ride in, ride in a car, take a ride, travel",
L_ride_2,ride,"gallop, horseback, ride, vehicle",
L_right_1,right,"accurate, accuracy, correct, proper, right",
L_right_2,right,"direction, right, righty, right hand, right-handed, turn right",
L_right_3,right,"all right, justice, law, legal, legal right, right, right to",
L_ring,ring,"accessories, jewelry, ring",
L_risk,risk,risk,
L_river,river,"river, stream, water, waterway, RIVERw",
L_river_2,river,river,
L_road,road,"avenue, path, road, street, way",
L_roar,roar,roar,
L_roar_2,roar,roar,
L_roast,roast,roast,
L_rob,rob,rob,
L_robot,robot,robot,
L_rock,rock,"dense, durable, hard, rock, stone, stoned, tough",
L_rocket_1,rocket,rocket,
L_rocket_2,rocket,rocket,
L_rocking_chair_1,rocking_chair,rocking_chair,
L_rocking_chair_2,rocking_chair,rocking_chair,
L_role,role,"character, duty, job, part, role",
L_roll,roll,"continue, go, going, roll, tumble, flip",
L_roll_up_sleeves,roll_up_sleeves,"dig in, diligent, eager, energy, get to work, interest, prepared, roll-up-sleeves, verve, zeal",
L_rollerblading,rollerblading,"in-line skates, rollerblade, rollerblading, roller skates, skates, skating",
L_rollerskating,rollerskating,"rollerskate, rollerskates, skates",
L_roof,roof,"cover, roof, shelter, top of house",
L_room,room,"box, package, room",
L_roommate,roommate,"companion, compatible, fit, match, roommate",
L_rooster,rooster,"animal, rooster",
L_rope,rope,rope,
L_rose,rose,rose,
L_rough,rough,"draft, rough, roughly, sketch",
L_row,row,row,
L_rude,rude,"not nice, rude",
L_ruin,ruin,"break, damage, destroy, mess up, ruin, ruined, spoil",
L_rule,rule,"guidelines, register, registration, rule",
L_ruler,ruler,ruler,
L_run,run,"jog, run, running, sprint",
L_run_2,run,"jog, run, sprint",
L_run_faucet,run_faucet,run_faucet,
L_run_out_of,run_out_of,run_out_of,
L_rush,rush,rush,
L_russia_2,russia,"country, place name, Russia, Russian",
L_sad,sad,"sad, sadness, sorrow, tragedy, tragic, unfortunate, unfortunately, unhappy",
L_safe,safe,"rescue, safe, safety, salvage, save",
L_sail,sail,"boat, mast, sail, sailboat, sailing, ship, SAILfa",
L_sail_2,sail,"boat, mast, sail, sailboat, sailing, ship, SAILfa",
L_sailboat,sailboat,"boat, mast, sail, sailing, SAILix, ship",
L_salad,salad,"food, salad",
L_salt,salt,"food, salt, salty",
L_salt_shaker,salt_shaker,salt_shaker,
L_same_1,same,"alike, also, me too, same, same as, similar, too",
L_same_2,same,"alike, also, as well, same, same as, too",
L_same_same,same_same,same_same,
L_same_time,same_time,"at the same time, meanwhile, same-time, simultaneous",
L_sandals,sandals,"flip-flops, sandals, shoes, thong sandals",
L_sandwich,sandwich,sandwich,
L_sandwich_2,sandwich,"food, sandwich, SANDWICHclap",
L_sandwich_3,sandwich,sandwich,
L_sandwich_4,sandwich,sandwich,
L_santa  ,santa  ,"beard, Christmas, Santa, Santa Claus",
L_sarcastic,sarcastic,sarcastic,
L_saturday,saturday,"day, day of the week, Saturday, weekend",
L_sauce,sauce,sauce,
L_sausage,sausage,sausage,
L_save,save,"conserve, keep, preservation, preserve, reserve, retain, save, savings, storage, to store",
L_save_money,save_money,"bank, invest, keep, money, put away, save money, savings, store",
L_saw,saw,"cut, handsaw, saw, wood",
L_saw_2,saw,saw,
L_saxophone,saxophone,saxophone,
L_scan,scan,"copier, copy, copy machine, scan",
L_scar_memory,scar_memory,"burned in memory, can't forget, remember, scar memory, trauma, traumatized, ",
L_scarcely,scarcely,"barely, desperate, few resources, make do, makeshift, not much, scarcely, scrimp, thrifty",
L_scared,scared,"afraid, fear, haunted, horror, intimidated, scared, scary",
L_scarf,scarf,"scarf, tie a scarf",
L_scarf_2,scarf,scarf,
L_scarf_3,scarf,"scarf, tie a scarf",
L_scarf_4,scarf,scarf,
L_schedule,schedule,schedule,
L_school,school,"academic, campus, education, school",
L_science,science,"science, scientific",
L_scientist,scientist,"science, scientist",
L_scissors,scissors,"cut, scissors",
L_scold,scold,"don't do that, gesture, no!, scold, shame, tsk tsk, shame on you",
L_scoop,scoop,"add in, dump, ingredient, scoop, serve",
L_score,score,"accounting, count, points, score, scoring",
L_scout,scout,"boy scouts, camp, girl scouts, scout",
L_scratch,scratch,"cut, scrape, scratch, scar",
L_scream,scream,"cry out, shout, scream, yell",
L_screwdriver,screwdriver,"screw, screwdriver, tool",
L_screwdriver_2,screwdriver,screwdriver,
L_screwdriver_3,screwdriver,screwdriver,
L_script,script,"draft, manual, script, text",
L_scroll_down,scroll_down,"computer, computer mouse, cursor, cursor move down, move down, scroll, scroll down",
L_scrub,scrub,scrub,
L_sculpt,sculpt,sculpt,
L_sculpture,sculpture,sculpture,
L_seal,seal,"animal, seal, SEALpa",
L_secret,secret,"confidential, hidden, keep quiet, password, personal, private, secret",
L_secretary,secretary,"club, office, secretary, SECRETARYp",
L_see,see,"look, see, vision, watch",
L_see_see,see_see,"check it out, eventually, let's see, look, maybe, perhaps, perchance, see, see-see, wait and see, we'll see",
L_seem,seem,"apparently, appear, appear to be, come across as, look like, seem, similar to",
L_select,select,"discover, find, found, pick, select",
L_self,self,self,
L_sell,sell,"sell, shopping, store",
L_senate,senate,"board, committee, council, senate",
L_send,send,"deliver, dispatch, put away, send, submit, throw, throw away, toss, toss out",
L_senior_citizen,senior_citizen,"elder, senior citizen",
L_sensitive,sensitive,"sensitive, sensitivity, tend, tends to",
L_sentence,sentence,"caption, clause, language, phrase, saying, sentence, statement, syntax, utterance",
L_sequence,sequence,"order, planned, progression, sequence, series, succession, to put in order",
L_serious,serious,"extreme, intense, serious, severe",
L_serve_1,serve,"serve, server, service, waiter, waitress",
L_serve_2,serve,serve,
L_set_up,set_up,"establish, place, set, set up",
L_seven,seven,"7, number, seven",
L_several,several,"a lot, few, many, several",
L_sew,sew,"needle, sew, sewing, stitch, stitches",
L_shake_1,shake,shake,
L_shake_2,shake,shake,
L_shakespeare,shakespeare,Shakespeare,
L_shame,shame,"bad, disgrace, dishonor, embarrassment, humiliation, mortification, shame, shy",
L_shame_on_you,shame_on_you,"shame on you, tsk tsk, E(tsk-tsk)",
L_shampoo,shampoo,"conditioner, shampoo, wash hair, wash head",
L_shape,shape,"architecture, sculpture, shape, statue",
L_share,share,share,
L_shark_1,shark,"animal, dorsal fin, shark",
L_shark_2,shark,"animal, shark, SHARK-SWIM",
L_sharp_1,sharp,sharp,
L_sharp_2,sharp,"razor-edged, sharp, sharp edge",
L_sharpen_1,sharpen,sharpen,
L_sharpen_2,sharpen,sharpen,
L_sharpen_3,sharpen,sharpen,
L_shave,shave,"cut, razor, shave beard, shave face",
L_shave_2,shave,"bald, buzz cut, shave",
L_shave_3,shave,"razor, shave",
L_shave_4,shave,shave,
L_shave_5,shave,shave,
L_sheep,sheep,"animal, sheep",
L_shelf,shelf,shelf,
L_shield,shield,"abstain, against, oppose, reluctant, resist",
L_shiny,shiny,"bright, brilliant, glow, reflective, shine, shiny",
L_shirt,shirt,shirt,
L_shirt_2,shirt,"attire, clothes, clothing, costume, dress, garb, garment, getup, outfit, shirt, top, wear",
L_shocked,shocked,"shock, shocked, stunned, surprised",
L_shoes,shoes,"footwear, shoe, shoes, sneakers",
L_shoot_1,shoot,shoot,
L_shoot_2,shoot,shoot,
L_shooting,shooting,shooting,
L_shop_1,shop,"buy, shop, shopping, shopping spree, store, to go shopping",
L_shop_2,shop,"sell, shop, shopping, store",
L_short_distance,short_distance,"close, close by, just there, near, nearby, not far, short, short distance",
L_short_person,short_person,"child, kid, little person, person, short, small, small-person, small person",
L_short_word,short_word,"short name, short word, abbreviate, abbreviation, shorten",
L_shorts,shorts,"clothes, shorts",
L_should,should,"have to, must, necessary, need, need to, should",
L_shoulder,shoulder,"body part, shoulder",
L_shoulder_2,shoulder,shoulder,
L_shoulder_3,shoulder,"body part, shoulder",
L_shout_1,shout,"cry out, shout, scream, yell",
L_shout_2,shout,"cry out, shout, scream, yell",
L_shovel,shovel,"dig, shovel",
L_shovel_2,shovel,shovel,
L_show,show,"demonstrate, display, example, exhibit, indicate, represent, show, sign, symptom",
L_shower,shower,"bathe, shower, take a shower",
L_shrimp,shrimp,"animal, fish, seafood, shrimp",
L_shut_out,shut_out,shut_out,
L_shy,shy,"bashful, reticent, shy, timid",
L_sick,sick,"disease, hospital, ill, illness, sick, sickness, unwell",
L_side,side,side,
L_sideburns,sideburns,sideburns,
L_sign,sign,"sign, sign language, signing",
L_sign_language,sign_language,"sign language, sign-language",
L_sign_paper,sign_paper,"autograph, contract, sign, sign a paper, signature, SIGNpaper",
L_signature,signature,"autograph, contract, sign, sign a paper, signature, SIGNpaper",
L_signing_fluently,signing_fluently,signing_fluently,
L_silly,silly,"foolish, goofy, ridiculous, silly",
L_silver,silver,"metal, silver, SILVERs",
L_since,since,"all along, during that time, have been, lately, since, since then, so far",
L_sing,sing,"music, sing, singing, song",
L_single,single,"single, SINGLEix",
L_single_out,single_out,"be a regular, favor, frequent, go often, habit, habitual, patronize, single out, target",
L_sink,sink,sink,
L_siren,siren,siren,
L_sister,sister,"family, female, relative, sibling, sister, SISTERix",
L_sit,sit,"chair, seat, sit, sit down",
L_situation,situation,"event, occurrence, scenario, situation, social, society",
L_six,six,"6, number, six",
L_skate,skate,"ice-skates, ice-skating, skating",
L_skateboarding,skateboarding,"skateboard, skateboarding",
L_skateboarding_2,skateboarding,skateboarding,
L_skateboarding_3,skateboarding,skateboarding,
L_ski,ski,"ski, snow skiing, SKIix",
L_ski-ca,ski-ca,ski-ca,
L_skill,skill,"expert, expertise, proficient, skill, talent, to be good at",
L_skin,skin,skin,
L_skirt,skirt,"clothes, dress, garb, skirt",
L_skunk,skunk,"animal, skunk",
L_slave,slave,"slave, servant, chains, bound",
L_sled_1,sled,sled,
L_sled_2,sled,sled,
L_sleep,sleep,"asleep, go to bed, go to sleep, nap, sleep, sleepy",
L_slice_1,slice,"cut up, section, slice",
L_slice_2,slice,slice,
L_slice_3,slice,slice,
L_slice_4,slice,"cut up, section, slice",
L_slide,slide,slide,
L_slide_2,slide,slide,
L_slingshot,slingshot,slingshot,
L_slip_1,slip,"fall, slide, slip, slippery",
L_slip_2,slip,slip,
L_slipper,slipper,slipper,
L_slow,slow,slow,
L_small,small,"little, miniature, small, tiny",
L_smart,smart,"brilliant, clever, intelligent, smart",
L_smell,smell,"odor, scent, smell, smelly",
L_smell_money,smell_money,smell_money,
L_smile,smile,"face, grin, smile",
L_smile_2,smile,"face, grin, smile",
L_smoke,smoke,"cloud of smoke, smoke, smoky",
L_smoking,smoking,"cigarette, smoking, to smoke",
L_smooth,smooth,"fluent, fluid, smooth",
L_snail,snail,snail,
L_snake,snake,"animal, reptile, snake, SNAKEbv",
L_snap,snap,"damn, dang, drats, gesture, interjection, oh darn, oh snap, ooh, snap, shoot!",
L_snap_stick,snap_stick,snap_stick,
L_sneak_adventure,sneak_adventure,"explore, have an adventure, sneak out, wander",
L_sneeze,sneeze,sneeze,
L_sneeze_2,sneeze,sneeze,
L_snob,snob,"fancy, snob, snooty, sophisticated",
L_snorkel,snorkel,snorkel,
L_snow,snow,"snow, snowing, SNOW5O",
L_snow_2,snow,"snow, snowing, SNOWstr",
L_snowboard,snowboard,snowboard,
L_snowman,snowman,"snow, snowman, SNOWMANsh",
L_snowsuit,snowsuit,snowsuit,
L_so,so,so,
L_soap,soap,"clean, soap, wash, wipe",
L_soap_2,soap,soap,
L_soccer,soccer,"football, futbol, soccer, sports",
L_soccer_2,soccer,"boot, eliminate, expel, flick, kick, kick off, remove, to kick out",not found
L_social,social,"hang out, interact, mingle, social, socialize",
L_socialize,socialize,"congregate, crowd, interact, mingle, people, socialize",
L_society,society,"group, social, society, sociology",
L_socks,socks,"clothes, clothing, sock, socks, stocking, stockings",
L_soda,soda,"Coke, pop, soda, soda-pop, Sprite",
L_sofa,sofa,sofa,
L_soft,soft,"gentle, soft, softly",
L_softball,softball,softball,
L_some,some,"a part of, aspect, part, partial, piece, portion, slice, some",
L_somersault_1,somersault,somersault,
L_somersault_2,somersault,somersault,
L_somersault_3,somersault,somersault,
L_something,something,"always, somebody, someone, something",
L_sometimes,sometimes,"every so often, from time to time, occasionally, once in a while, periodically, sometime, sometimes, sporadically",
L_son,son,"offspring, son, boy, child",
L_soon_1,soon,"before long, in a moment, momentarily, not long now, shortly, soon, SOONch",
L_soon_3,soon,"before long, in a bit, in a moment, momentarily, not long now, shortly, soon, SOONns",
L_sophisticated,sophisticated,"fancy, snob, snooty, sophisticated",
L_sophomore,sophomore,"class year, grade, school, sophomore",
L_sorry,sorry,"apologize, apology, sorry",
L_sound,sound,"ear, heard, hear, noise, sound",
L_soup,soup,"cereal, eat, soup, spoon, SOUPcir",
L_sour,sour,"bitter, disappoint, nasty, sour, yucky",
L_south,south,"direction, south",
L_sow,sow,sow,
L_space,space,"availability, available, blank, empty, leeway, room, space, vacant",
L_spaceship,spaceship,spaceship,
L_spaghetti,spaghetti,"noodles, pasta, spaghetti",
L_spain,spain,spain,
L_speakers,speakers,"radio, speakers, stereo, volume",
L_special_1,special,"especially, except, special, unique",
L_special_2,special,"especially, except, special, unique",
L_specialist,specialist,"career, discipline, expert, field, professional, profession, specialist, SPECIALISTix, specialty",
L_specific,specific,"detail, exact, exactly, precise, precisely, specific, specifically",
L_spend,spend,"expend, give, spend, spend money, spend time",
L_spend_lots_of_money,spend_lots_of_money,spend_lots_of_money,
L_spicy,spicy,"hot, spicy, spicy food",
L_spider,spider,"animal, arachnid, spider",
L_spill_1,spill,spill,
L_spill_2,spill,spill,
L_spit_out,spit_out,spit_out,
L_splash-ca,splash-ca,splash-ca,
L_spontaneous,spontaneous,spontaneous,
L_spoon,spoon,"spoon, utensil",
L_sports,sports,"compete, competition, competitive, race, sports",
L_spot_something,spot_something,spot_something,
L_spread_1,spread,"disseminate, expansive, overflow, spill, spread, widespread",more common
L_spread_2,spread,spread,
L_spread_3,spread,spread,
L_spring,spring,"season, spring, time of year",
L_square,square,"rectangle, shape, square",
L_square_idiot,square_idiot,square_idiot,
L_squeeze,squeeze,squeeze,
L_squirrel,squirrel,"animal, rodent, squirrel",
L_sshh,sshh,"be quiet, don't tell, gesture, shh, shush, shut up",
L_stack_1,stack,stack,
L_stack_2,stack,stack,
L_stack_3,stack,stack,
L_stack_4,stack,stack,
L_stadium,stadium,stadium,
L_staff,staff,"board, committee, council, employees, staff, workforce",
L_stairs,stairs,"climb the stairs, staircase, stairs",
L_stamp,stamp,"stamp, letter, mail, postage, STAMPhbk",
L_stamp_1,stamp,stamp,
L_stamp_2,stamp,stamp,
L_stand_1,stand,"stand, stand up, upright",more common
L_stand_2,stand,stand,
L_stand_up,stand_up,"get up, rise, stand, stand up, upright",
L_stapler,stapler,stapler,
L_star,star,"heavenly body, light, night sky, star, stars, twinkling",
L_starbucks,starbucks,"cafe, coffee, Starbucks, tea",
L_stare,stare,"look, see, vision, watch",
L_stars,stars,"heavenly body, light, night sky, star, stars, twinkling",
L_start,start,"begin, beginning, commence, initiate, outset, original, start",
L_state,state,"semester, state, subject, politically organized body of people usually occupying a definite territory",ref_handspeak
L_stay,stay,"don't move, remain, stay, stay there",
L_stay_awake_24hrs,stay_awake_24hrs,stay_awake_24hrs,
L_steak,steak,"food, meat, steak",
L_steal,steal,"burglarize, loot, misappropriate, pilfer, pillage, plunder, purloin, rob, steal, stolen, theft, thief, thieve",
L_steam,steam,"smoke, steam",
L_step,step,"advance, footsteps, gain access, initiated, make strides, move forward, steps, stomp, walking",
L_stethoscope,stethoscope,"medical, stethoscope, STETHOSCOPEearch",
L_stethoscope_2,stethoscope,stethoscope,
L_stethoscope_3,stethoscope,stethoscope,
L_stethoscope_4,stethoscope,stethoscope,
L_sticky,sticky,"adhesive, maple syrup, stick, stick to, sticky, STICKY8",
L_still,still,"continue, enduring, even now, persist, persisting, still",
L_stimulate,stimulate,"input, prompt, stimulate, stimulating, stimulus, trigger",
L_sting,sting,sting,
L_stink,stink,"odor, poop, smelly, stink",
L_stir,stir,"blend, eat, food, meal, mix, stir",
